Date,Open,High,Low,Close,Adj Close,Volume
2019-03-07,173.869995,174.440002,172.020004,172.500000,172.500000,24796400
2019-03-08,170.320007,173.070007,169.500000,172.910004,172.910004,23999400
2019-03-11,175.490005,179.119995,175.350006,178.899994,178.899994,32011000
2019-03-12,180.000000,182.669998,179.369995,180.910004,180.910004,32467600
2019-03-13,182.250000,183.300003,180.919998,181.710007,181.710007,31032500
2019-03-14,183.899994,184.100006,182.559998,183.729996,183.729996,23579500
2019-03-15,184.850006,187.330002,183.740005,186.119995,186.119995,39042900
2019-03-18,185.800003,188.389999,185.789993,188.020004,188.020004,26219800
2019-03-19,188.350006,188.990005,185.919998,186.529999,186.529999,31646400
2019-03-20,186.229996,189.490005,184.729996,188.160004,188.160004,31035200
2019-03-21,190.020004,196.330002,189.809998,195.089996,195.089996,51034200
2019-03-22,195.339996,197.690002,190.779999,191.050003,191.050003,42407700
2019-03-25,191.509995,191.979996,186.600006,188.740005,188.740005,43845300
2019-03-26,191.660004,192.880005,184.580002,186.789993,186.789993,49800500
2019-03-27,188.750000,189.759995,186.550003,188.470001,188.470001,29848400
2019-03-28,188.949997,189.559998,187.529999,188.720001,188.720001,20780400
2019-03-29,189.830002,190.080002,188.539993,189.949997,189.949997,23564000
2019-04-01,191.639999,191.679993,188.380005,191.240005,191.240005,27862000
2019-04-02,191.089996,194.460007,191.050003,194.020004,194.020004,22765700
2019-04-03,193.250000,196.500000,193.149994,195.350006,195.350006,23271800
2019-04-04,194.789993,196.369995,193.139999,195.690002,195.690002,19099200
2019-04-05,196.449997,197.100006,195.949997,197.000000,197.000000,18526644
